|   1   |      2       |       3      |       4      |       5      |       6      |       7      |       8      |       9      |       10     |       11     |       12     |      13       |
+-------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+

                       А. Балансовые счета
     Актив
|32402                 0          24671          24671              0           1517           1517              0            953            953              0          25235          25235|
|32902                 0              0              0         794253              0         794253         794253              0         794253              0              0              0|
|40111              1531              0           1531              0              0              0              0              0              0           1531              0           1531|
|44605             50000              0          50000              0              0              0              0              0              0          50000              0          50000|
|44606            100000              0         100000              0              0              0              0              0              0         100000              0         100000|
|44904             13430              0          13430          30150              0          30150          12980              0          12980          30600              0          30600|
|44906             45500              0          45500              0              0              0          20500              0          20500          25000              0          25000|
|44907            134495              0         134495              0              0              0           9500              0           9500         124995              0         124995|
|45104                 0              0              0        1299800              0        1299800              0              0              0        1299800              0        1299800|
|45106            600000              0         600000         500000              0         500000         600000              0         600000         500000              0         500000|
|45107           1671836              0        1671836              0              0              0           3778              0           3778        1668058              0        1668058|
|45108           5460000         196754        5656754              0          13584          13584              0           8654           8654        5460000         201684        5661684|
|45201           6346760              0        6346760       14758974              0       14758974       14916309              0       14916309        6189425              0        6189425|
|45203            242208              0         242208         840076              0         840076         750946              0         750946         331338              0         331338|
|45204           5835341        1018680        6854021        3340045         466035        3806080        3494044          39874        3533918        5681342        1444841        7126183|
|45205          22352383         601824       22954207        5624806          40526        5665332        5605667         580274        6185941       22371522          62076       22433598|
|45206          11539225        1131140       12670365        1525394          71099        1596493        1612884          44800        1657684       11451735        1157439       12609174|
|45207           4871554        4479773        9351327         342245         773931        1116176         397803         665258        1063061        4815996        4588446        9404442|
|45208          16472351        6837733       23310084         434629        1042736        1477365         546719         339620         886339       16360261        7540849       23901110|
|45401            595784              0         595784        1046143              0        1046143         990212              0         990212         651715              0         651715|
|45403              3900              0           3900           7420              0           7420           3900              0           3900           7420              0           7420|
|45404            258486              0         258486         204018              0         204018         175064              0         175064         287440              0         287440|
|45405           1600987              0        1600987         609422              0         609422         624636              0         624636        1585773              0        1585773|
|45406            767231              0         767231          61133              0          61133          91313              0          91313         737051              0         737051|
|45407           2156340              0        2156340         131399              0         131399         165723              0         165723        2122016              0        2122016|
|45408           2832493              0        2832493         158392              0         158392         188977              0         188977        2801908              0        2801908|
|45502            316182            277         316459           2052             11           2063         318066            288         318354            168              0            168|
|45503            266515            505         267020         552117            620         552737         236099            403         236502         582533            722         583255|
|45505            496600            209         496809         100967             11         100978          91620             42          91662         505947            178         506125|
|45506          11317699        1490227       12807926         912856          93197        1006053         918855          58182         977037       11311700        1525242       12836942|
|45507          96021460        1949607       97971067        4569532         145202        4714734        4053325         163064        4216389       96537667        1931745       98469412|
|45508           9068143          10374        9078517        2571443           8127        2579570        2480143           8660        2488803        9159443           9841        9169284|
|45509             10635            215          10850          18782            769          19551          18311            492          18803          11106            492          11598|
|45702                13              7             20            260              1            261            258              8            266             15              0             15|
|45705               376              0            376            500              0            500              9              0              9            867              0            867|
|45706              7573              0           7573            163              0            163             69              0             69           7667              0           7667|
